company,org,model_id,downloads,likes,pipeline_tag,library_name,created_at,tags
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_200k,284,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_200k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_20k,359,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_20k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_300k,122,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_300k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_400k,115,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_400k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_40k,117,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_40k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_500k,604,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_500k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_600k,240,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_600k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_60k,121,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_60k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_700k,264,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_700k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_800k,97,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_800k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_80k,206,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_80k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0-step_900k,247,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; multiberts-seed_0-step_900k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_0,211,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_0; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_0k,108,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_0k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1000k,104,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1000k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_100k,99,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_100k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1100k,101,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1100k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1200k,100,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1200k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_120k,96,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_120k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1300k,87,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1300k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_1400k,97,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_1400k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
"Alphabet Inc.  (GOOG, GOOGL)  (CIK 0001652044)",google,google/multiberts-seed_1-step_140k,92,0,,transformers,2022-03-02T23:29:05.000Z,transformers; pytorch; tf; bert; pretraining; multiberts; multiberts-seed_1; multiberts-seed_1-step_140k; en; arxiv:2106.16163; arxiv:1908.08962; license:apache-2.0; endpoints_compatible; region:us
